Title,Artist,Link,Details
A Political Meeting (In the West of Ireland),Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=a-political-meeting-in-the-west-of-ireland-by-jack-b-yeats-1871-1957,"Date: 1905.Dimensions: 71.5 × 53.25cm.Medium: Watercolour and pencil.Collection: Niland Collection.Provenance: Presented to Sligo County Library and Museum by James A. Healy in 1965, as a memorial to his parents John and Catherine Healy.
Description:
On 11 February 1905 the Lily of Lough Gill branch of the Irish National Foresters welcomed the Lord Mayor of Dublin, secretary general of the society, to Sligo. The latter was the only surviving member of those who had founded the Irish National Foresters, a nationalist organisation which had broken away from the Ancient Order of Foresters in 1877. It was one of the most widespread and popular Irish friendly societies of the pre-World War One period with branches in several countries throughout the world.
Yeats’s painting shows members of the Foresters wearing sashes and carrying banners depicting Robert Emmet and Irish harps and jostling for position outside the town hall in Sligo. The Lord Mayor of Dublin can be seen in an upper floor window of this building, obviously speaking with great passion, his arms raised dramatically. His speech attacked the evils of emigration. Behind the swirling forms of the foresters and the grey buildings of the town can be seen the mountains of the Ben Bulben range and a dark stormy sky.
Yeats was in England at the time of this event and probably based his painting on a photograph [speaker-mute](1)[/speaker-mute]. His version manages to capture the dynamic movement of the crowd and resonates with the burgeoning nationalist fervour of this period. Yeats was probably drawn to the subject as it was reminiscent of his 1898 visit to Sligo when he witnessed the unveiling of a monument to Bartholomew Teeling, a hero of the 1798 rebellion which occasioned a similar sense of excitement and historical occasion. The work was acquired by John Quinn at an exhibition in Dublin in 1905 and transported to New York. James A. Healy subsequently bought it in 1939 and donated it to Sligo in 1965.
[speaker-mute](1) H. Pyle, Jack B. Yeats at the Niland Gallery Sligo, 1998, p.16.[/speaker-mute]
Written by Roisin Kennedy"
A Sunday Morning in Sligo,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=a-sunday-morning-in-sligo-by-jack-b-yeats-1871-1957,Date: 1898Dimensions: 44.5 × 28cmMedium: WatercolourCollection: Niland CollectionProvenance: Presented to Sligo County Library and Museum in 1963
A view of Sligo Quay,Percy French (1854 – 1920),https://www.themodel.ie/?artwork=a-view-of-sligo-quay-by-percy-french-1854-1920,"Date: 1911Dimensions: 34 × 24cmMedium: WatercoloursCollection: Niland CollectionProvenance: Unknown
Description
Born into a landed family in County Roscommon, Percy French is best remembered as a poet, entertainer and song writer whose most popular composition was Where the Mountains of Mourne Sweep Down to the Sea.
In 1872 he entered Trinity College to read engineering, but his studies appear to have taken second place to his love of music and theatre and it took him eight years to graduate. Although he never studied art, French always painted and sketched in his spare time and his work was exhibited at the Royal Hibernian Academy on several occasions. His success as an entertainer resulted in a great deal of travel throughout Ireland, England and beyond. He painted many of the landscapes that he encountered, including scenes of New York, Quebec and Switzerland, but always returned to the boglands and rugged hills of the west of Ireland.
Like Jack B. Yeats, whose drawings on Sligo Quay are in the collection of the Model and Niland, French chose to depict an urban scene of Sligo rather than one of the more popular rural views of the area. Unlike Yeats, French seldom included figures in his compositions and as a result his work is more topographical than documentary.
Written by Riann Coulter"
A Western Town at Night,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=a-western-town-at-night-by-jack-b-yeats-1871-1957,"Date: 1925Dimensions: 35.5 × 23cmMedium: Oil on panelCollection: Niland CollectionProvenance: Presented by James A. Healy in New York to Sligo County Library and Museum. In memory of his parents, John and Catherine Healy in 1966.
Description:
The Western Town referred to in the title is almost definitely Sligo. Yeats transforms this familiar place into a theatrical backdrop in which a near encounter between two figures is enacted. It is night but the light from an open doorway illuminates the scene. Two men walk in opposite directions. One is a portly businessman in bowler hat, while the other a worker, in his flat cap, is tall and lanky, and strides towards the light. The two figures are situated in an open space like a stage in a theatre. They impart a sense of ease and contentment as they go about their nocturnal routine. The dark towering forms of the buildings in the background and the dramatic red and blue of the sky add a note of tension to the scene suggesting the beauty and sublimity of the West.
Written by Roisin Kennedy"
An Island Funeral,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=an-island-funeral-by-jack-b-yeats-1871-1957,"Date: 1923Dimensions: 91.5 × 61cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Purchased by public subscription from the Capuchin Annual in 1962
Description:
This sharply observed painting depicts a coffin being brought from the remote Blasket Islands, off the West Kerry coast, to the mainland for burial in the graveyard at Ventry. There was no graveyard on the islands. The coffin is accompanied by a subdued group of mourners, including women wearing traditional black shawls. They contrast with their younger female companions who are instead attired in fashionable modern dress. On the left hand side of the composition another boat can be seen coming alongside. Its crew, who look towards the funeral boat, add to the strong sense of community evoked by the painting. The work emphasises the importance of ritual and custom in the lives of remote communities in Ireland in a period of political turbulence. As in other works of this period Yeats sets traditional practices against the increasing modernity of Irish life. The image of the boat carrying a coffin across the water has a classical connotation in that it recalls the story of Charon ferrying the souls of the dead across the river Styx to Hades.
Written by Roisin Kennedy"
An Island Man,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=an-island-man-by-jack-b-yeats-1871-1957,"Date: 1906Dimensions: 23 × 30.5cmMedium: Pen, ink and watercolourCollection: Niland CollectionProvenance: Presented to Sligo County Library and Museum, 1966 by James A. Healy as a memorial to his parents John and Catherine Healy.
Description:
This is the original drawing for the frontispiece of John Millington Synge’s The Aran Islands (1907), to which Yeats contributed 12 pen and ink illustrations. The original drawings were later hand-coloured in watercolour when Yeats exhibited them.
Yeats met Synge in 1905 when the two men were commissioned to produce a series of articles on the Congested Districts Board for the Manchester Guardian. They travelled together through Mayo and Galway in the summer of 1905, Synge gathering information for his articles while Yeats sketched potential images. The meeting with Synge had a profound impact on Yeats who was impressed by the writer’s knowledge and understanding of life in the West of Ireland, and also by his personality.
Synge spoke Irish and had spent several summers living on Inishmore, as recounted in his book. While most of Yeats’s illustrations to the Aran Islands show the islanders at work, the frontispiece shows an islander standing on the coastline looking out to sea. He wears traditional Aran Island costume as described by Synge. This includes his hat, his waistcoat or bainín jacket, his flannel trousers tied with a plated crios belt and his cow-skin pampooties. According to Synge’s account of the islanders, their clothes suited their life on the islands. The pampooties, for example, enabled them to clamber across its rocky terrain. Yeats’s frontispiece emulates Synge’s combination of ethnography with his keenly felt admiration for the islanders and their way of life. The man’s confident pose and distinctive appearance lend him an air of dignity. The difficulty of his existence is hinted at by the rocky outcrop in the background of the drawing.
Written by Roisin Kennedy"
Angels Ascending and Descending with Heavenly Spectators,Patrick Hall (b.1935),https://www.themodel.ie/?artwork=angels-ascending-and-descending-with-heavenly-spectators-by-patrick-hall-b-1935,"Date: 2002Medium: Oil on canvasCollection: Niland CollectionProvenance: Purchased by The Model Arts and Niland Gallery, Sligo, from the Green on Red Gallery, Dublin, 2003
Description:
Patrick Hall, a well established artist who has lived in London, Spain and Dublin moved to Sligo in the mid 1990s. He has described this experience as ‘moving upwards and inwards, into hills and mountains’. The large scale and expansive space of these paintings seem at some level to reflect the spaciousness of the Western landscape and coastline. The subject matter of both paintings and of much of Hall’s other work of recent years is drawn largely from the Bible, a book which Hall considers to be rather like a great painting. He has always been interested in biblical stories as a source of happiness and as a description of a world where emotional life is complete (1).
The two Niland paintings refer to this idea in that they depict incidents from the scriptures where the earthly sphere is united with the eternal spiritual world. In Jesus Walking on the Sea, the tiny figure of Jesus stands on tumultuous waves with the boat and apostles at some distance. The pattern and dark grey colour of the waves dominates the painting. Angels Ascending and Descending with Heavenly Spectacular refers to the story of Jacob’s ladder, when Jacob rests for the night and dreams of a ladder reaching up to heaven with angels going up and down. Hall uses this tale as the basis for his extraordinary painting in which an earth red landscape with stone like forms is covered by lines of figures. The religious sources are used in a universal, metaphysical sense. Hall is not a religious artist. Rather he paints subjects drawn from religious texts in a childlike, uncomplicated way analogous to the way in which biblical stories are constructed and retold. But this simplicity belies the enormously profound ideas of mortality and immortality which both the Bible and Hall’s painting seek to convey. Hall’s approach calls into question the authority of religious beliefs and emphasizes the tenuousness of day to day existence by using simple forms to retell and re-imagine the familiar stories of the scriptures.
(1) Brian McAvera ‘Patrick Hall. Completing the Picture’, Irish Arts Review, Autumn 2007, 24, no.3, pp.68-71.
Written by Roisin Kennedy"
Belfast Pieta,Rita Duffy (b.1959),https://www.themodel.ie/?artwork=belfast-pieta-by-rita-duffy-b-1959,Date: c. 1991Dimensions: 840 × 1200cmMedium: Oil and charcoal on wax paperCollection: Graeve CollectionProvenance: Acquired from ‘In a State Exhibition’ by Jobst Graeve in 1990
Bog Sun by Patrick Scott HRHA (1921 – 2014),Patrick Scott HRHA (1921 - 2014),https://www.themodel.ie/?artwork=bog-sun-by-patrick-scott-1921-2014,"Date: c. 1959Dimensions: 49.25 × 59.5cmMedium: Oil on canvasCollection: Graeve CollectionProvenance: Dawson Gallery, Dublin. According to Patrick Scott it was part of the President of Ireland Collection hanging in Aras an Uachtarain during the 60’s and In 1995 acquired from Taylor de Vere Auction"
Cartoon Figure of Christ,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=cartoon-figure-of-christ-by-jack-b-yeats-1871-1957,"Date: 1903Dimensions: 71 × 112cmMedium: GouacheCollection: Niland CollectionProvenance: Purchased from Dawson Gallery by Sligo County Library and Museum in 1966
Description:
In 1903 Jack Yeats and wife, Cottie, were commissioned to design the sodality banners for new cathedral at Loughrea, Co. Galway. Designs for 29 banners were completed – one for each of the sodalities which met monthly in honour of the Sacred Heart. The banners were embroidered in wool and silk on linen at the Dun Emer industries by Lily Yeats and her assistants and now hang at Loughrea. The work was part of an ambitious programme for the design of the cathedral which was intended to present the best of modern Irish religious art and to evoke the spirit of Celtic craftsmanship and design. It was to provide a vital alternative to the mass-produced church monuments and furnishings which dominated Irish churches of the period.
In this banner, dedicated to the Sacred Heart, Christ stands with arms outstretched. The symbol of the Sacred Heart is emblazoned on his chest. The stigmata are evident on his feet and hands. In each corner of the design are symbols of the Passion – the chalice, the spear, the sponge and the whip. Yeats uses the device of entwined briars to frame the design, a reference to the Crown of Thorns. The simplicity of these symbols brings to mind late medieval Dominican and Franciscan iconography.
Written by Roisin Kennedy"
