Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
City Rectangle,http://onlinecollection.nationalgallery.ie/objects/22140/city-rectangle;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=0,1948,Oil on canvas,86 x 66 cm,NGI.2020.35,"Purchased, 2020"
Hope Painting - Drummond Place 2007,http://onlinecollection.nationalgallery.ie/objects/22221/hope-painting--drummond-place-2007;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=1,2016,Oil on linen,48 x 48 cm,NGI.2020.24,"Purchased, 2020"
Inner Darkness 2011,http://onlinecollection.nationalgallery.ie/objects/22222/inner-darkness-2011;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=2,2016,Oil on linen,43 x 43 cm,NGI.2020.25,"Purchased, 2020"
Sheela-na-Gig VII,http://onlinecollection.nationalgallery.ie/objects/21871/sheelanagig-vii;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=3,1962,Mixed media on plywood panel,107.5 x 97 x 10 cm,NGI.2020.9,"Presented, 2020"
Study for Sheela-na-Gig VII,http://onlinecollection.nationalgallery.ie/objects/21872/study-for-sheelanagig-vii;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=4,1962,Oil on wood panel,13.5 x 19 cm,NGI.2020.10,"Presented, 2020"
"Portrait of L. S. O'Riordan, original Board Member, New Ireland Assurance",http://onlinecollection.nationalgallery.ie/objects/22067/portrait-of-l-s-oriordan-original-board-member-new-irel;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=5,1959,Oil on canvas,N/A,NGI.2020.4,"Presented, New Ireland Assurance Company, 2020"
"Portrait of M. J. Campbell, original Board Member, New Ireland Assurance",http://onlinecollection.nationalgallery.ie/objects/22068/portrait-of-m-j-campbell-original-board-member-new-irela;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=6,1954,Oil on canvas,N/A,NGI.2020.5,"Presented, New Ireland Assurance Company, 2020"
"Portrait of M. W. O'Reilly, Founder and Managing Director, New Ireland Assurance",http://onlinecollection.nationalgallery.ie/objects/22069/portrait-of-m-w-oreilly-founder-and-managing-director-n;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=7,1943,Oil on canvas,N/A,NGI.2020.6,"Presented, New Ireland Assurance Company, 2020"
Galatea and Polyphemus,http://onlinecollection.nationalgallery.ie/objects/22064/galatea-and-polyphemus;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=8,c.1673-75,Oil on canvas,48 x 77 cm,NGI.2020.2,"Bequeathed, Dr John Patrick Maiben Gilmartin, through the Friends of the National Collections of Ireland, 2020"
The Day I Heard that Mark Hollis had Died (Self-Portrait),http://onlinecollection.nationalgallery.ie/objects/21772/the-day-i-heard-that-mark-hollis-had-died-selfportrait;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=9,2019,Oil on canvas,105 x 97 cm,NGI.2019.238,"Presented, Friends of the National Gallery of Ireland (Patrons of Irish Art Funds), 2019"
